product_id,id_web,nom_produit,prix_unitaire,z_score,ventes_totales,chiffre_affaires,stock
4628,802,Marcel Windholtz Eau de Vie de Marc de Muscat,39.6,0.2561,0.0,0.0,2
6109,15201,Gilles Robin Saint-Joseph Rouge André Péalat 2010,39.2,0.2417,1.0,39.2,0
4299,16578,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2018,39.1,0.2381,0.0,0.0,18
4081,13117,Le Vieux Donjon Châteauneuf-du-Pape 2016,39.0,0.2345,4.0,156.0,0
4357,9562,Champagne Larmandier-Bernier Latitude,39.0,0.2345,0.0,0.0,0
4141,304,Champagne Gosset Grande Réserve,39.0,0.2345,40.0,1560.0,1
5398,12315,Chili Montsecano (Ostertag) Pinot Noir 2013,39.0,0.2345,1.0,39.0,10
5524,15864,Domaine Chambeyron Condrieu Vernon 2018,38.6,0.2201,1.0,38.6,0
5609,15930,Domaine Weinbach Riesling Cuvée Colette 2018,38.6,0.2201,2.0,77.2,25
4287,16065,Domaine Hauvette Les Baux de Provence Cornaline 2014,38.6,0.2201,1.0,38.6,22
5520,15863,Domaine Chambeyron Côte Rôtie La Chavarine 2017,38.6,0.2201,2.0,77.2,54
6050,15134,Christophe Pichon Condrieu 2017,38.5,0.2165,0.0,0.0,0
5771,15184,Camille Giroud Santenay Rouge 1er Cru Clos Rousseau 2016,38.4,0.213,0.0,0.0,3
5616,14845,"Albert Boxler Pinot Noir ""S"" 2016",38.4,0.213,2.0,76.8,6
4202,15655,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert Blanc 2019,38.0,0.1986,0.0,0.0,46
5554,13969,Thierry Germain Saumur-Champigny Clos de l'Echelier 2017,38.0,0.1986,0.0,0.0,10
4201,15656,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert 2018,38.0,0.1986,0.0,0.0,69
6629,15793,Weingut Besson-Strasser Zürich Pinot Noir Cholfirst 2017,37.7,0.1878,1.0,37.7,25
4148,1364,Champagne Mailly Grand Cru Brut Rosé,37.5,0.1806,0.0,0.0,18
4918,15533,Alain Graillot Crozes-Hermitage Rouge La Guiraude 2016,37.2,0.1698,24.0,892.8,0
